Season,HomeTeam,AwayTeam,Home_Overall,Home_Att,Home_Mid,Home_Def,Home_Pace,Away_Overall,Away_Att,Away_Mid,Away_Def,Away_Pace,FTHG,FTAG
2019-2020,Leicester City,Liverpool,73.0909090909091,49.57575757575758,66.42424242424242,57.57575757575758,65.6969696969697,76.45454545454545,52.09090909090909,69.51515151515152,58.06060606060606,70.12121212121212,0,4
2019-2020,Wolverhampton Wanderers,Manchester City,69.24242424242425,49.84848484848485,64.63636363636364,51.42424242424242,68.45454545454545,76.18181818181819,51.515151515151516,69.72727272727273,54.39393939393939,68.96969696969697,3,2
2019-2020,Southampton,Crystal Palace,68.78787878787878,47.333333333333336,60.18181818181818,48.666666666666664,66.18181818181819,69.9090909090909,47.93939393939394,62.45454545454545,54.21212121212121,62.78787878787879,1,1
2019-2020,Newcastle United,Everton,73.87878787878788,50.90909090909091,67.33333333333333,56.54545454545455,66.81818181818181,71.93939393939394,51.03030303030303,66.63636363636364,53.78787878787879,67.45454545454545,1,2
2019-2020,Watford,Aston Villa,72.27272727272727,52.93939393939394,64.54545454545455,50.60606060606061,65.3030303030303,69.84848484848484,48.21212121212121,62.15151515151515,50.24242424242424,65.81818181818181,3,0
2019-2020,West Ham United,Leicester City,72.0909090909091,48.36363636363637,63.72727272727273,53.0,65.54545454545455,73.0909090909091,49.57575757575758,66.42424242424242,57.57575757575758,65.6969696969697,1,2
2019-2020,Norwich City,Tottenham Hotspur,68.0909090909091,49.72727272727273,60.63636363636363,51.60606060606061,65.03030303030303,74.39393939393939,50.42424242424242,67.57575757575758,56.03030303030303,70.96969696969697,2,2
2019-2020,Burnley,Manchester United,70.53125,47.09375,60.4375,51.90625,62.28125,76.03030303030303,54.96969696969697,70.87878787878788,59.121212121212125,72.42424242424242,0,2
2019-2020,Arsenal,Chelsea,74.18181818181819,53.121212121212125,67.0,54.72727272727273,72.15151515151516,74.63636363636364,52.696969696969695,69.66666666666667,56.57575757575758,66.9090909090909,1,2
2019-2020,Liverpool,Wolverhampton Wanderers,76.45454545454545,52.09090909090909,69.51515151515152,58.06060606060606,70.12121212121212,69.24242424242425,49.84848484848485,64.63636363636364,51.42424242424242,68.45454545454545,1,0
2019-2020,Manchester City,Sheffield United,76.18181818181819,51.515151515151516,69.72727272727273,54.39393939393939,68.96969696969697,69.81818181818181,47.03030303030303,60.333333333333336,50.60606060606061,63.45454545454545,2,0
2019-2020,Burnley,Aston Villa,70.53125,47.09375,60.4375,51.90625,62.28125,69.84848484848484,48.21212121212121,62.15151515151515,50.24242424242424,65.81818181818181,1,2
2019-2020,Southampton,Tottenham Hotspur,68.78787878787878,47.333333333333336,60.18181818181818,48.666666666666664,66.18181818181819,74.39393939393939,50.42424242424242,67.57575757575758,56.03030303030303,70.96969696969697,1,0
2019-2020,Newcastle United,Leicester City,73.87878787878788,50.90909090909091,67.33333333333333,56.54545454545455,66.81818181818181,73.0909090909091,49.57575757575758,66.42424242424242,57.57575757575758,65.6969696969697,0,3
2019-2020,Watford,Wolverhampton Wanderers,72.27272727272727,52.93939393939394,64.54545454545455,50.60606060606061,65.3030303030303,69.24242424242425,49.84848484848485,64.63636363636364,51.42424242424242,68.45454545454545,2,1
2019-2020,Manchester City,Everton,76.18181818181819,51.515151515151516,69.72727272727273,54.39393939393939,68.96969696969697,71.93939393939394,51.03030303030303,66.63636363636364,53.78787878787879,67.45454545454545,2,1
2019-2020,Norwich City,Crystal Palace,68.0909090909091,49.72727272727273,60.63636363636363,51.60606060606061,65.03030303030303,69.9090909090909,47.93939393939394,62.45454545454545,54.21212121212121,62.78787878787879,1,1
2019-2020,Arsenal,Manchester United,74.18181818181819,53.121212121212125,67.0,54.72727272727273,72.15151515151516,76.03030303030303,54.96969696969697,70.87878787878788,59.121212121212125,72.42424242424242,2,0
2019-2020,Liverpool,Sheffield United,76.45454545454545,52.09090909090909,69.51515151515152,58.06060606060606,70.12121212121212,69.81818181818181,47.03030303030303,60.333333333333336,50.60606060606061,63.45454545454545,2,0
2019-2020,Sheffield United,West Ham United,69.81818181818181,47.03030303030303,60.333333333333336,50.60606060606061,63.45454545454545,72.0909090909091,48.36363636363637,63.72727272727273,53.0,65.54545454545455,1,0
2019-2020,Crystal Palace,Arsenal,69.9090909090909,47.93939393939394,62.45454545454545,54.21212121212121,62.78787878787879,74.18181818181819,53.121212121212125,67.0,54.72727272727273,72.15151515151516,1,1
2019-2020,Manchester United,Norwich City,76.03030303030303,54.96969696969697,70.87878787878788,59.121212121212125,72.42424242424242,68.0909090909091,49.72727272727273,60.63636363636363,51.60606060606061,65.03030303030303,4,0
2019-2020,Leicester City,Southampton,73.0909090909091,49.57575757575758,66.42424242424242,57.57575757575758,65.6969696969697,68.78787878787878,47.333333333333336,60.18181818181818,48.666666666666664,66.18181818181819,1,2
2019-2020,Chelsea,Burnley,74.63636363636364,52.696969696969695,69.66666666666667,56.57575757575758,66.9090909090909,70.53125,47.09375,60.4375,51.90625,62.28125,3,0
2019-2020,Wolverhampton Wanderers,Newcastle United,69.24242424242425,49.84848484848485,64.63636363636364,51.42424242424242,68.45454545454545,73.87878787878788,50.90909090909091,67.33333333333333,56.54545454545455,66.81818181818181,1,1
2019-2020,Tottenham Hotspur,Liverpool,74.39393939393939,50.42424242424242,67.57575757575758,56.03030303030303,70.96969696969697,76.45454545454545,52.09090909090909,69.51515151515152,58.06060606060606,70.12121212121212,0,1
2019-2020,Aston Villa,Manchester City,69.84848484848484,48.21212121212121,62.15151515151515,50.24242424242424,65.81818181818181,76.18181818181819,51.515151515151516,69.72727272727273,54.39393939393939,68.96969696969697,1,6
2019-2020,Watford,Tottenham Hotspur,72.27272727272727,52.93939393939394,64.54545454545455,50.60606060606061,65.3030303030303,74.39393939393939,50.42424242424242,67.57575757575758,56.03030303030303,70.96969696969697,0,0
2019-2020,Manchester City,Crystal Palace,76.18181818181819,51.515151515151516,69.72727272727273,54.39393939393939,68.96969696969697,69.9090909090909,47.93939393939394,62.45454545454545,54.21212121212121,62.78787878787879,2,2
2019-2020,Arsenal,Sheffield United,74.18181818181819,53.121212121212125,67.0,54.72727272727273,72.15151515151516,69.81818181818181,47.03030303030303,60.333333333333336,50.60606060606061,63.45454545454545,1,1
